iter	Passed	Remaining
407	4337	6293
408	4345	6279
409	4355	6268
410	4365	6255
411	4374	6243
412	4383	6230
413	4392	6217
414	4402	6206
415	4411	6193
416	4422	6182
417	4430	6169
418	4440	6157
419	4449	6144
420	4459	6133
421	4468	6120
422	4477	6108
423	4486	6094
424	4496	6083
425	4504	6069
426	4514	6058
427	4523	6045
428	4532	6033
429	4542	6022
430	4551	6009
431	4560	5996
432	4571	5986
433	4583	5976
434	4591	5963
435	4602	5953
436	4611	5941
437	4620	5928
438	4629	5915
439	4639	5904
440	4649	5893
441	4658	5881
442	4668	5870
443	4678	5858
444	4688	5847
445	4698	5836
446	4708	5825
447	4721	5817
448	4734	5810
449	4744	5799
450	4753	5786
451	4766	5779
452	4776	5767
453	4785	5755
454	4795	5744
455	4804	5731
456	4814	5720
457	4823	5708
458	4833	5696
459	4843	5685
460	4853	5674
461	4862	5662
462	4871	5650
463	4880	5638
464	4889	5625
465	4898	5613
466	4909	5602
467	4919	5591
468	4929	5581
469	4941	5572
470	4950	5560
471	4960	5548
472	4969	5536
473	4980	5526
474	4988	5513
475	5001	5505
476	5011	5494
477	5020	5483
478	5030	5471
479	5038	5458
480	5047	5446
481	5057	5434
482	5067	5424
483	5078	5413
484	5088	5403
485	5097	5391
486	5110	5383
487	5119	5371
488	5129	5360
489	5142	5352
490	5153	5342
491	5164	5332
492	5173	5320
493	5183	5309
494	5193	5298
495	5202	5286
496	5212	5275
497	5221	5263
498	5231	5252
499	5240	5240
500	5250	5229
501	5259	5217
502	5268	5205
503	5277	5193
504	5287	5182
505	5296	5170
506	5306	5159
507	5316	5149
508	5326	5138
509	5335	5126
510	5345	5115
511	5354	5103
512	5364	5092
513	5374	5081
514	5384	5071
515	5394	5060
516	5405	5049
517	5414	5038
518	5423	5026
519	5432	5014
520	5442	5003
521	5451	4992
522	5462	4981
523	5479	4977
524	5488	4966
525	5498	4954
526	5507	4943
527	5517	4932
528	5526	4920
529	5536	4910
530	5545	4897
531	5555	4886
532	5563	4874
533	5573	4863
534	5582	4851
535	5592	4841
536	5602	4830
537	5611	4818
538	5621	4807
539	5630	4795
540	5640	4785
541	5649	4774
542	5661	4764
543	5671	4754
544	5682	4744
545	5693	4734
546	5709	4728
547	5722	4719
548	5730	4707
549	5743	4699
550	5759	4693
551	5771	4684
552	5780	4672
553	5790	4661
554	5799	4650
555	5810	4639
556	5820	4628
557	5829	4617
558	5838	4606
559	5847	4594
560	5857	4583
561	5867	4572
562	5877	4562
563	5887	4551
564	5898	4541
565	5907	4529
566	5918	4519
567	5927	4508
568	5938	4498
569	5946	4486
570	5956	4475
571	5969	4466
572	5978	4455
573	5989	4444
574	5998	4433
575	6007	4422
576	6018	4412
577	6028	4401
578	6037	4389
579	6047	4379
580	6057	4368
581	6067	4357
582	6077	4346
583	6085	4335
584	6096	4324
585	6104	4312
586	6116	4303
587	6124	4291
588	6135	4281
589	6144	4270
590	6154	4258
591	6165	4249
592	6174	4237
593	6185	4228
594	6195	4217
595	6205	4206
596	6214	4194
597	6223	4183
598	6232	4172
599	6242	4161
600	6252	4150
601	6262	4140
602	6272	4129
603	6281	4118
604	6291	4107
605	6300	4096
606	6310	4085
607	6320	4074
608	6329	4063
609	6338	4052
610	6347	4041
611	6357	4030
612	6367	4020
613	6377	4009
614	6386	3998
615	6395	3987
616	6405	3975
617	6414	3965
618	6423	3953
619	6433	3942
620	6442	3931
621	6452	3921
622	6460	3909
623	6470	3898
624	6479	3887
625	6489	3876
626	6498	3866
627	6508	3855
628	6516	3843
629	6526	3832
630	6537	3822
631	6547	3812
632	6555	3800
633	6564	3789
634	6574	3778
635	6583	3767
636	6594	3757
637	6603	3746
638	6613	3736
639	6621	3724
640	6631	3713
641	6640	3703
642	6651	3693
643	6659	3681
644	6669	3670
645	6679	3660
646	6689	3649
647	6698	3638
648	6707	3627
649	6717	3617
650	6728	3607
651	6738	3596
652	6747	3585
653	6756	3574
654	6765	3563
655	6776	3553
656	6785	3542
657	6795	3531
658	6804	3521
659	6813	3510
660	6823	3499
661	6832	3488
662	6842	3478
663	6851	3467
664	6861	3456
665	6872	3446
666	6885	3437
667	6896	3427
668	6905	3416
669	6916	3406
670	6925	3395
671	6940	3387
672	6949	3376
673	6960	3366
674	6970	3356
675	6982	3346
676	6993	3336
677	7001	3325
678	7012	3315
679	7027	3307
680	7036	3295
681	7047	3286
682	7057	3275
683	7067	3264
684	7077	3254
685	7085	3243
686	7095	3232
687	7105	3222
688	7115	3211
689	7125	3201
690	7135	3190
691	7144	3179
692	7154	3169
693	7173	3162
694	7183	3152
695	7191	3141
696	7199	3129
697	7210	3119
698	7221	3109
699	7229	3098
700	7240	3088
701	7254	3079
702	7265	3069
703	7275	3058
704	7290	3050
705	7301	3040
706	7318	3032
707	7331	3023
708	7343	3013
709	7351	3002
710	7362	2992
711	7372	2982
712	7383	2971
713	7392	2961
714	7402	2950
715	7412	2940
716	7424	2930
717	7436	2920
718	7444	2909
719	7454	2899
720	7465	2888
721	7474	2877
722	7484	2867
723	7494	2857
724	7505	2846
725	7517	2837
726	7527	2826
727	7537	2816
728	7547	2805
729	7558	2795
730	7569	2785
731	7583	2776
732	7609	2771
733	7626	2763
734	7636	2753
735	7645	2742
736	7656	2732
737	7666	2721
738	7677	2711
739	7688	2701
740	7698	2690
741	7709	2680
742	7719	2670
743	7730	2659
744	7739	2649
745	7750	2638
746	7760	2628
747	7772	2618
748	7783	2608
749	7795	2598
750	7808	2588
751	7819	2578
752	7836	2570
753	7846	2560
754	7857	2549
755	7869	2539
756	7880	2529
757	7893	2519
758	7903	2509
759	7915	2499
760	7930	2490
761	7941	2480
762	7952	2470
763	7964	2460
764	7976	2450
765	7989	2440
766	8005	2431
767	8016	2421
768	8029	2411
769	8037	2400
770	8050	2391
771	8061	2380
772	8072	2370
773	8083	2360
774	8094	2349
775	8105	2339
776	8115	2329
777	8126	2318
778	8137	2308
779	8146	2297
780	8159	2287
781	8171	2278
782	8182	2267
783	8191	2256
784	8199	2245
785	8209	2235
786	8218	2224
787	8229	2214
788	8240	2203
789	8250	2193
790	8264	2183
791	8277	2173
792	8288	2163
793	8300	2153
794	8312	2143
795	8324	2133
796	8333	2122
797	8344	2112
798	8356	2102
799	8369	2092
800	8380	2081
801	8388	2071
802	8396	2059
803	8406	2049
804	8414	2038
805	8426	2028
806	8437	2017
807	8444	2006
808	8457	1996
809	8467	1986
810	8476	1975
811	8485	1964
812	8499	1954
813	8507	1944
814	8516	1933
815	8527	1922
816	8536	1912
817	8549	1902
818	8559	1891
819	8569	1881
820	8578	1870
821	8591	1860
822	8600	1849
823	8609	1839
824	8620	1828
825	8629	1817
826	8639	1807
827	8647	1796
828	8656	1785
829	8666	1775
830	8676	1764
831	8686	1754
832	8696	1743
833	8706	1732
834	8717	1722
835	8728	1712
836	8739	1702
837	8750	1691
838	8759	1680
839	8769	1670
840	8779	1659
